iter	Logloss
0	0.6881340109
1	0.6828708044
2	0.67855508
3	0.6741015062
4	0.6693806264
5	0.6638331763
6	0.6593245851
7	0.6549134467
8	0.6502736595
9	0.6455118768
10	0.6411955298
11	0.6370172857
12	0.6328982931
13	0.6295434934
14	0.6250581937
15	0.6215037967
16	0.6177031206
17	0.613569202
18	0.6104781937
19	0.606866034
20	0.6032121356
21	0.5991348915
22	0.59573874
23	0.5923585841
24	0.5890693786
25	0.585873751
26	0.5825540055
27	0.5799844932
28	0.5765947504
29	0.5729891006
30	0.5700142953
31	0.5672929906
32	0.5645802128
33	0.5619576384
34	0.5594869307
35	0.557127106
36	0.5546323267
37	0.5521419234
38	0.5498430889
39	0.5472512333
40	0.5444805667
41	0.5421104962
42	0.5399768668
43	0.5376675644
44	0.5356649171
45	0.5331365425
46	0.5313249597
47	0.5289814366
48	0.5268983075
49	0.5248295441
50	0.5229544943
51	0.5209000835
52	0.5188698547
53	0.5171313057
54	0.515312642
55	0.5133594991
56	0.5113281016
57	0.5092735408
58	0.507624622
59	0.5061901529
60	0.5044501573
61	0.5029244406
62	0.50123521
63	0.4994014381
64	0.4979903081
65	0.4962675168
66	0.4944944815
67	0.4927105128
68	0.4913610232
69	0.489842162
70	0.488558137
71	0.4869719163
72	0.4858195982
73	0.484686708
74	0.4839732499
75	0.4826202967
76	0.4814794081
77	0.4803577438
78	0.4789916992
79	0.4780574092
80	0.4770063897
81	0.4761954948
82	0.4751892913
83	0.4741097555
84	0.4731318523
85	0.4720329449
86	0.4710139612
87	0.4697968874
88	0.4686588283
89	0.4672525136
90	0.4659854493
91	0.4646647135
92	0.4633433791
93	0.4626171101
94	0.4616544528
95	0.460538938
96	0.4594592251
97	0.4583561447
98	0.4576129135
99	0.456655355
100	0.4555636131
101	0.4543048152
102	0.4530210554
103	0.4519549319
104	0.451006569
105	0.450108063
106	0.4488072381
107	0.4475686752
108	0.4466129665
109	0.4456586142
110	0.4452232085
111	0.4442887808
112	0.4436039077
113	0.442568097
114	0.4413885611
115	0.4402335675
116	0.4392115196
117	0.4382377912
118	0.4374181188
119	0.4366277164
120	0.4357394574
121	0.4350311117
122	0.4343102921
123	0.4335938533
124	0.4331222213
125	0.4325791306
126	0.4316412018
127	0.4311238245
128	0.4303844711
129	0.4298589528
130	0.429554867
131	0.4291816745
132	0.4287314548
133	0.4281927391
134	0.4275003226
135	0.4268356804
136	0.4262377011
137	0.4257671706
138	0.4250586217
139	0.4243317778
140	0.4238864796
141	0.4232713446
142	0.4222298929
143	0.4219261772
144	0.4210986825
145	0.4205347804
146	0.4201758833
147	0.4198986237
148	0.4192308242
149	0.4188133897
150	0.4183635363
151	0.418195034
152	0.4177351108
153	0.4170950099
154	0.4166657642
155	0.4162304876
156	0.416029542
157	0.4155176843
158	0.4148940163
159	0.4145187807
160	0.4140727405
161	0.4134764808
162	0.4132046211
163	0.4125332639
164	0.4120633779
165	0.4114247463
166	0.4112954457
167	0.4109959861
168	0.4101661636
169	0.4095472747
170	0.4091961244
171	0.408988124
172	0.408442117
173	0.4083286348
174	0.4082172423
175	0.4074477217
176	0.4069483657
177	0.4064841676
178	0.4061518304
179	0.4057399016
180	0.4055697833
181	0.4051401902
182	0.4045812753
183	0.4042076604
184	0.4036476848
185	0.4032806788
186	0.4028886874
187	0.4026188089
188	0.402592059
189	0.4019367763
190	0.4016849617
191	0.4012816276
192	0.401267178
193	0.4009868049
194	0.400593795
195	0.4002582429
196	0.3999900498
197	0.3996050709
198	0.3993292617
199	0.3987392986
200	0.3983344106
201	0.3980586825
202	0.3978843006
203	0.3975145275
204	0.3971500047
205	0.3967822181
206	0.3965349411
207	0.396413852
208	0.3962273265
209	0.3958747524
210	0.3955779697
211	0.3952786334
212	0.3945786518
213	0.394251976
214	0.3939059658
215	0.3936093521
216	0.3934452723
217	0.3930973327
218	0.3927671515
219	0.3924982649
220	0.3921076766
221	0.3917206671
222	0.3916478023
223	0.3913209747
224	0.391015642
225	0.3909789128
226	0.3906275808
227	0.3901477119
228	0.3901134382
229	0.3896813694
230	0.3892461196
231	0.3889523646
232	0.3885670071
233	0.3879355846
234	0.387668323
235	0.3870606766
236	0.3868390979
237	0.386635606
238	0.3861860815
239	0.3859543778
240	0.3854883193
241	0.3850640639
242	0.3845783343
243	0.3844836564
244	0.3841980477
245	0.383838863
246	0.3836775751
247	0.383449539
248	0.3830879232
249	0.3823943959
