iter	Passed	Remaining
0	15	15907
1	59	29477
2	81	27125
3	117	29357
4	160	31975
5	208	34463
6	252	35777
7	294	36467
8	337	37161
9	380	37689
10	431	38832
11	481	39634
12	511	38824
13	540	38079
14	583	38310
15	626	38554
16	670	38748
17	712	38863
18	735	37969
19	777	38114
20	820	38259
21	864	38416
22	907	38532
23	949	38632
24	993	38735
25	1037	38851
26	1079	38914
27	1101	38235
28	1143	38299
29	1187	38410
30	1235	38627
31	1278	38673
32	1320	38684
33	1362	38716
34	1394	38445
35	1440	38574
36	1484	38643
37	1528	38687
38	1570	38704
39	1614	38756
40	1658	38797
41	1694	38651
42	1736	38658
43	1779	38673
44	1814	38513
45	1858	38536
46	1894	38414
47	1991	39490
48	2038	39555
49	2087	39659
50	2134	39722
51	2178	39717
52	2226	39779
53	2264	39673
54	2299	39517
55	2343	39501
56	2388	39514
57	2437	39585
58	2479	39551
59	2522	39521
60	2565	39492
61	2608	39460
62	2651	39433
63	2694	39401
64	2736	39367
65	2780	39341
66	2823	39321
67	2867	39298
68	2911	39283
69	2954	39252
70	2998	39228
71	3041	39198
72	3069	38980
73	3111	38938
74	3126	38562
75	3170	38549
76	3213	38520
77	3253	38453
78	3297	38448
79	3319	38176
80	3364	38176
81	3396	38025
82	3442	38029
83	3484	38002
84	3527	37971
85	3570	37949
86	3613	37915
87	3657	37905
88	3700	37877
89	3742	37844
90	3784	37803
91	3826	37770
92	3869	37740
93	3891	37509
94	3935	37493
95	3979	37473
96	4033	37549
97	4078	37541
98	4121	37510
99	4163	37471
100	4206	37437
101	4256	37476
102	4301	37462
103	4346	37447
104	4391	37432
105	4438	37437
106	4483	37415
107	4526	37381
108	4568	37346
109	4610	37302
110	4633	37109
111	4679	37102
112	4721	37060
113	4766	37044
114	4808	37002
115	4851	36971
116	4894	36935
117	4937	36902
118	4980	36868
119	5017	36797
120	5060	36760
121	5102	36720
122	5144	36684
123	5186	36641
124	5215	36510
125	5260	36490
126	5303	36454
127	5346	36423
128	5391	36400
129	5434	36367
130	5456	36196
131	5478	36024
132	5521	35991
133	5563	35958
134	5606	35922
135	5648	35885
136	5693	35863
137	5736	35831
138	5778	35795
139	5821	35763
140	5863	35724
141	5906	35687
142	5950	35663
143	5992	35623
144	6034	35583
145	6077	35551
146	6120	35512
147	6141	35355
148	6184	35320
149	6225	35279
150	6272	35267
151	6287	35076
152	6330	35047
153	6380	35052
154	6428	35045
155	6472	35019
156	6501	34911
157	6544	34875
158	6587	34844
159	6622	34767
160	6665	34735
161	6709	34707
162	6751	34666
163	6794	34635
164	6836	34597
165	6879	34565
166	6895	34394
167	6938	34359
168	6981	34330
169	7024	34298
170	7067	34264
171	7175	34541
172	7226	34544
173	7243	34385
174	7264	34246
175	7306	34209
176	7350	34175
177	7394	34149
178	7438	34117
179	7480	34077
180	7523	34043
181	7565	34001
182	7607	33962
183	7649	33925
184	7692	33890
185	7737	33863
186	7780	33825
187	7816	33761
188	7832	33609
189	7875	33572
190	7919	33542
191	7961	33505
192	7971	33329
193	8013	33294
194	8057	33263
195	8102	33236
196	8144	33197
197	8187	33163
198	8229	33124
199	8272	33091
200	8320	33074
201	8364	33042
202	8387	32929
203	8433	32905
204	8477	32874
205	8519	32838
206	8563	32804
207	8599	32742
208	8641	32706
209	8686	32678
210	8734	32661
211	8777	32624
212	8819	32585
213	8863	32552
214	8905	32515
215	8946	32474
216	8988	32432
217	9036	32416
218	9082	32388
219	9127	32360
220	9169	32322
221	9212	32283
222	9241	32200
223	9286	32170
224	9327	32126
225	9342	31996
226	9388	31969
227	9432	31939
228	9449	31815
229	9492	31780
230	9540	31759
231	9583	31725
232	9627	31691
233	9669	31654
234	9713	31619
235	9755	31582
236	9799	31547
237	9841	31509
238	9885	31475
239	9930	31445
240	9973	31410
241	10016	31373
242	10061	31342
243	10103	31303
244	10144	31262
245	10186	31222
246	10222	31162
247	10263	31121
248	10344	31198
249	10388	31164
250	10433	31135
251	10476	31097
252	10518	31055
253	10546	30975
254	10575	30895
255	10617	30855
256	10665	30833
257	10708	30796
258	10751	30759
259	10793	30720
260	10836	30682
261	10878	30642
262	10921	30603
263	10942	30507
264	10965	30412
265	11007	30373
266	11050	30336
267	11093	30299
268	11134	30258
269	11177	30221
270	11220	30183
271	11262	30143
272	11306	30108
273	11351	30077
274	11395	30042
275	11440	30011
276	11485	29979
277	11528	29940
278	11564	29885
279	11606	29845
280	11649	29806
281	11691	29768
282	11735	29731
283	11757	29641
284	11799	29601
285	11814	29494
286	11856	29454
287	11899	29417
288	11940	29376
289	11983	29338
290	11998	29234
291	12041	29197
292	12084	29159
293	12126	29119
294	12168	29081
295	12211	29042
296	12302	29121
297	12374	29150
298	12427	29135
299	12476	29112
300	12518	29071
301	12561	29033
302	12603	28991
303	12645	28951
304	12688	28913
305	12732	28876
306	12775	28837
307	12817	28797
308	12860	28759
309	12904	28723
310	12947	28684
311	12989	28644
312	13032	28605
313	13076	28568
314	13091	28468
315	13132	28426
316	13176	28389
317	13218	28348
318	13260	28308
319	13302	28268
320	13348	28234
321	13392	28199
322	13438	28166
323	13482	28129
324	13524	28088
325	13566	28047
326	13609	28008
327	13651	27968
328	13693	27928
329	13736	27890
330	13745	27780
331	13766	27699
332	13808	27659
333	13852	27621
334	13895	27583
335	13938	27545
336	13967	27479
337	14010	27440
338	14054	27403
339	14096	27363
340	14111	27271
341	14153	27231
342	14195	27190
343	14237	27150
344	14267	27087
345	14310	27049
346	14356	27016
347	14400	26981
348	14445	26945
349	14487	26905
350	14529	26864
351	14574	26830
352	14615	26788
353	14658	26750
354	14701	26711
355	14744	26672
356	14786	26632
357	14829	26593
358	14871	26554
359	14916	26518
360	14959	26479
361	14987	26414
362	15030	26374
363	15073	26337
364	15116	26298
365	15158	26258
366	15201	26219
367	15246	26183
368	15261	26097
369	15283	26022
370	15325	25983
371	15370	25948
372	15416	25914
373	15453	25865
374	15495	25826
375	15537	25785
376	15580	25747
377	15625	25712
378	15669	25674
379	15712	25636
380	15741	25574
381	15783	25534
382	15825	25494
383	15879	25472
384	15901	25401
385	15943	25361
386	15987	25323
387	16029	25283
388	16073	25245
389	16114	25205
390	16157	25166
391	16185	25104
392	16228	25065
393	16270	25025
394	16313	24986
395	16344	24929
396	16392	24897
397	16407	24817
398	16453	24783
399	16495	24742
400	16537	24703
401	16580	24664
402	16624	24627
403	16667	24589
404	16711	24551
405	16753	24511
406	16796	24473
407	16838	24432
408	16891	24407
409	16932	24366
410	16955	24298
411	16998	24260
412	17041	24220
413	17084	24183
414	17126	24142
415	17169	24103
416	17211	24063
417	17233	23995
418	17275	23955
419	17317	23914
420	17360	23875
421	17411	23848
422	17526	23907
423	17573	23873
424	17591	23799
425	17636	23763
426	17681	23727
427	17710	23668
428	17751	23627
429	17794	23587
430	17837	23548
431	17865	23490
432	17909	23451
433	17950	23410
434	17986	23362
435	18031	23325
436	18075	23287
437	18118	23247
438	18160	23207
439	18203	23168
440	18246	23128
441	18289	23089
442	18332	23049
443	18375	23010
444	18385	22930
445	18432	22896
446	18476	22857
447	18517	22816
448	18559	22775
449	18602	22735
450	18617	22662
451	18645	22605
